draw,date,first,second,third,starter1,starter2,consolation1,consolation2,consolation3,consolation4,consolation5,consolation6,consolation7,consolation8,consolation9,consolation10
4600,2025-08-23,6063,6360,9431,0873,1706,3989,6459,5621,2970,8774,3284,1204,8556,6247,4211
4599,2025-08-20,5537,4482,9824,6181,6150,2473,3626,1876,9194,0729,3490,6224,8154,1659,6041
4598,2025-08-17,9796,8487,2402,4160,5835,8024,7653,3988,6843,4723,4704,4968,4076,3718,5453
4597,2025-08-14,5183,6345,4904,7297,8038,3943,9564,0361,2957,6969,1831,3322,9919,0405,2122
4596,2025-08-11,7511,4809,8312,3476,8091,5929,9939,2743,2245,5860,9649,1415,2954,7126,3793
4595,2025-08-08,3428,7509,7218,6348,5347,1726,4800,0122,1977,5767,9157,4787,1970,2412,3776
4594,2025-08-05,9630,5126,1783,0493,7840,1409,5949,8143,7830,0855,5426,5484,5845,2601,3901
4593,2025-08-02,0432,6501,0154,9209,5632,8682,2783,1680,1660,3180,2125,7034,6175,9016,6647
4592,2025-07-30,1733,2954,3893,8630,7619,3473,1597,8887,7146,7306,6296,4298,5342,3178,8487
4591,2025-07-27,5983,9267,9685,3257,2232,4856,3249,7064,6244,2929,0448,5059,7292,5133,8609
4590,2025-07-24,1218,0333,6216,9984,3197,5737,0253,9996,6885,2896,7607,0873,3403,4827,8843
4589,2025-07-21,4308,1380,7427,0609,3989,2378,8765,6523,1040,8989,1160,6448,7467,6245,8162
4588,2025-07-18,4252,2909,6912,6858,9669,7809,0835,1746,8055,3580,2428,6290,9943,3661,4473
4587,2025-07-15,7983,9333,1073,0547,4310,6969,9509,1109,8816,6508,2033,7909,3667,1395,0708
4586,2025-07-12,1112,0909,0487,9872,6057,6456,0340,1855,5425,4369,4097,2756,9082,2763,8212
4585,2025-07-09,4715,4699,4428,1087,7360,6029,4780,5482,4123,5856,8347,4110,4184,4313,0611
4584,2025-07-06,3051,2651,4099,0345,0553,5012,7670,0742,8500,4597,8916,8146,0525,0157,8815
4583,2025-07-03,2515,4639,0866,9473,6127,5703,7537,8242,9001,6130,1720,5305,4926,6227,3717
4582,2025-06-30,8224,9349,8350,0069,2915,2521,1759,6058,2870,2294,8308,5522,3524,9415,4657
4581,2025-06-27,0519,2937,5539,1204,9261,0359,4378,4830,5525,3533,1843,1519,1491,1095,1952
4580,2025-06-24,2941,6217,0977,6302,3731,5252,3133,0561,6527,9916,7071,8839,9422,5576,2257
4579,2025-06-21,0760,6109,8180,3644,4105,0480,2592,9838,4758,8644,0488,2413,2818,3880,2517
4578,2025-06-18,7121,2178,6267,3336,8046,6574,7852,9340,9236,2797,3228,5999,3163,4927,7795
4577,2025-06-15,9323,6522,3681,5950,9330,3819,5196,6301,2750,2104,7807,0293,1349,4879,1306
4576,2025-06-12,2118,3398,8945,7227,1693,3141,8020,6662,6734,5859,3133,1809,6993,9246,5170
4575,2025-06-09,8463,0327,8985,4884,8151,5895,6065,3168,5042,2414,3601,5496,6929,1975,4148
4574,2025-06-06,0723,2270,0901,2816,6740,9931,8099,0006,0222,6105,6384,8553,7431,9836,8766
4573,2025-06-03,0251,1850,1924,9595,7345,3162,2582,1087,9314,3846,8118,3552,5904,5739,5874
4572,2025-05-31,2573,2478,9176,4668,9507,8483,4648,6431,0410,6678,1074,2883,2626,4815,3768
4571,2025-05-28,9453,8272,7522,4376,6644,2724,4846,8078,7012,1328,5302,6894,4950,2284,8267
